window_end,factor,beta,t,portfolio
2008-07-31,US Tbill 1-3yr,0.3828237453322662,1.7704008557257545,Asset 1
2008-07-31,US Muni,0.13565238954524467,2.0077394166430405,Asset 1
2008-07-31,Gold,-0.021172349152551923,-1.7458386381336854,Asset 1
2008-08-29,HF FOF Div,0.034507251769020086,0.6721635680680137,Asset 1
2008-08-29,MSCI Canada,-0.026257725505980645,-1.5344736093234383,Asset 1
2008-08-29,EM Bond,0.16958759994661737,3.743804893365877,Asset 1
2008-08-29,High Yield,0.12413307610565322,2.820059359850997,Asset 1
2008-08-29,MSCI Japan,-0.0018019151653620516,-0.11797925788258187,Asset 1
2008-08-29,Commodities,0.02051599620561228,1.378046840731193,Asset 1
2008-08-29,US Dollar,0.044609226870537574,1.1592722249059295,Asset 1
2008-08-29,TIPs,0.16497083822845476,2.750179010382195,Asset 1
2008-08-29,Global AGG,0.07911248653582881,1.0329454859704663,Asset 1
2008-08-29,US Tbill 1-3yr,0.4322631581144737,2.0472945318539466,Asset 1
2008-08-29,US Muni,0.1644454916213591,2.52573216625916,Asset 1
2008-08-29,Gold,-0.030616112271670406,-2.518750025883941,Asset 1
2008-09-30,HF FOF Div,-0.10481562370844769,-0.95606532827174,Asset 1
2008-09-30,MSCI Canada,0.022998211607556104,0.7183670231215131,Asset 1
2008-09-30,EM Bond,0.11313007759953811,1.126954960955502,Asset 1
2008-09-30,High Yield,-0.005137681332057823,-0.05624780454323184,Asset 1
2008-09-30,MSCI Japan,0.009797117408451959,0.28332070723546543,Asset 1
2008-09-30,Commodities,-0.001206372019475365,-0.04097836074087387,Asset 1
2008-09-30,US Dollar,0.09140427154286684,1.1296046004937954,Asset 1
2008-09-30,TIPs,-0.06331118835337178,-0.5665635362730467,Asset 1
2008-09-30,Global AGG,0.12063919995574494,0.7335633385515203,Asset 1
2008-09-30,US Tbill 1-3yr,0.9636974728755671,2.2606976892829094,Asset 1
2008-09-30,US Muni,0.15979699148722523,1.2118824220541977,Asset 1
2008-09-30,Gold,-0.009465980093131683,-0.38394847652697756,Asset 1
2008-10-31,HF FOF Div,-0.1570569641996503,-1.7521620637738926,Asset 1
2008-10-31,MSCI Canada,0.014328834008695047,0.4504561677135841,Asset 1
2008-10-31,EM Bond,0.1274177874074931,1.4030329083714266,Asset 1
2008-10-31,High Yield,0.026307183518840885,0.3049672815330762,Asset 1
2008-10-31,MSCI Japan,0.020568006032996702,0.607792115255609,Asset 1
2008-10-31,Commodities,-0.012225612938297516,-0.4243194297118131,Asset 1
2008-10-31,US Dollar,0.08194928817770153,1.1490481171309657,Asset 1
2008-10-31,TIPs,0.020614353684483906,0.23456792763435058,Asset 1
2008-10-31,Global AGG,0.09632903067384709,0.6471583719454606,Asset 1
2008-10-31,US Tbill 1-3yr,0.6646578515834388,1.673514714166532,Asset 1
2008-10-31,US Muni,0.0623639397818996,0.5989183675730524,Asset 1
2008-10-31,Gold,0.006116076786653111,0.29358993688279333,Asset 1
2008-11-28,HF FOF Div,-0.20183116011578775,-2.2255363216619592,Asset 1
2008-11-28,MSCI Canada,0.025748996607020826,0.7765270068727274,Asset 1
2008-11-28,EM Bond,0.17913906846258257,1.9819414159917286,Asset 1
2008-11-28,High Yield,-0.07728711245666042,-1.1071321080418466,Asset 1
2008-11-28,MSCI Japan,0.047058217047808486,1.4096178169134659,Asset 1
2008-11-28,Commodities,-0.026973649888721942,-0.9193348200053865,Asset 1
2008-11-28,US Dollar,0.12977142607349587,1.8660937605837469,Asset 1
2008-11-28,TIPs,0.08129899634048413,0.9358443176315621,Asset 1
2008-11-28,Global AGG,0.14652521126497114,0.960372479294881,Asset 1
2008-11-28,US Tbill 1-3yr,0.3005408667635463,0.8582224066096569,Asset 1
2008-11-28,US Muni,0.045107105398566286,0.4145246618470044,Asset 1
2008-11-28,Gold,0.017484877930977274,0.7929670698832696,Asset 1
2008-12-31,HF FOF Div,-0.18619579032624264,-1.9730821386099036,Asset 1
2008-12-31,MSCI Canada,0.03591764713135816,1.061343231736817,Asset 1
2008-12-31,EM Bond,0.20667353597431665,2.2551700484195485,Asset 1
2008-12-31,High Yield,-0.12266951893405456,-1.918364714762164,Asset 1
2008-12-31,MSCI Japan,0.0295139468407557,0.7878990461191234,Asset 1
2008-12-31,Commodities,-0.014268653371366114,-0.4925065001929604,Asset 1
2008-12-31,US Dollar,0.08079691533829703,1.3028470442943796,Asset 1
2008-12-31,TIPs,0.09095425394559659,1.0084474520703524,Asset 1
2008-12-31,Global AGG,0.0039860120425716985,0.03427462115123223,Asset 1
2008-12-31,US Tbill 1-3yr,0.4071960569158346,1.1468712849889808,Asset 1
2008-12-31,US Muni,0.10521095539490688,1.0161395611706692,Asset 1
2008-12-31,Gold,0.018757813099241284,0.8186309721736502,Asset 1
2009-01-30,HF FOF Div,-0.16623578129971514,-1.8475622867343695,Asset 1
2009-01-30,MSCI Canada,0.03160905219650267,0.9322330034483413,Asset 1
