alpha,beta,t_alpha,t_beta,p_beta,rsq,adj_rsq,n,portfolio,factor
0.003709747777599531,0.6059242470968519,0.8834300516472461,6.809574391455705,4.35068475697777e-10,0.28210876560813825,0.2760249415878683,120,Asset 2,MSCI Japan
0.00011237125835858214,0.598339079346621,0.03267390688520703,11.440092198677174,7.577150820725495e-21,0.5258677504915321,0.5218496805804433,120,Asset 2,MSCI Asia ex-J
-0.0012062739768910857,1.1618574786646363,-0.6879528572619111,28.945911108592533,1.9534518643266018e-55,0.8765517045227622,0.8755055325271924,120,Asset 2,US Growth
2.9636819994951482e-05,0.9729009896931695,0.01011304428906756,14.952419292069568,5.255235206933195e-29,0.654541303240753,0.6516136871665221,120,Asset 2,US Value
-0.0004426793465076781,0.8082776297563095,-0.17082791734283576,17.86684116076724,2.3526504774931421e-35,0.7301154637572387,0.7278283066704356,120,Asset 2,US Small Cap
-0.0018870217709333814,0.928971031306017,-0.7931460558329809,20.11710933427256,6.0788923760872094e-40,0.774248265458678,0.7723351151659549,120,Asset 2,US Mid Cap
0.005249617491078722,0.04780413219809366,1.0487980130642556,0.5326682369222034,0.5952649322187114,0.0023987697847457357,-0.006055477928942787,120,Asset 2,Gold
-0.0005825752784272195,1.1279438851950303,-0.2516144853834778,20.72280006622508,3.946854295202366e-41,0.78444907586951,0.7826223731226414,120,Asset 2,S&P500
0.007070133181082348,-0.29669428160570754,1.0527159745493528,-0.463697744791342,0.643718531762709,0.0018188518390491737,-0.0066403104335013285,120,Asset 3,US Muni
0.008753378043542478,-2.8349592788777156,1.3139777943541489,-1.6540244829492352,0.10078035737396265,0.02265936912163402,0.014376821402325879,120,Asset 3,US Tbill 1-3yr
0.006587677885379602,-0.053608695679049245,0.969920691757701,-0.07970467182838686,0.9366071597743737,5.383468397002211e-05,-0.008420285361081081,120,Asset 3,US AGG
0.0028534670443218814,1.4613319899898944,0.45606975073511485,3.9682522235017723,0.00012475031514864765,0.11773738986577476,0.1102605880849763,120,Asset 3,Global AGG
0.002727843068220306,-1.688007225751397,0.45146376193070836,-4.95941818447839,2.396174588313566e-06,0.17248631287356198,0.16547348501655823,120,Asset 3,US Dollar
0.0056895521739741715,0.9755377894430461,1.2190022331866022,10.831840409917989,2.1128012808732785e-19,0.4985738391791672,0.4943244649349229,120,Asset 3,Commodities
0.00039163438169431794,1.8526645628940053,0.07756741205919447,9.298883387249381,9.144131414018875e-16,0.42289605775054306,0.41800534637554765,120,Asset 3,Long Short HF
-0.004331780624448068,2.3904650923139625,-0.831372457200224,9.016682049204121,4.214222770946293e-15,0.40792939640566894,0.40291184891758136,120,Asset 3,Event Driven HF
0.002048970864827297,2.670996571382793,0.3772172161250073,7.597252264904967,7.880659890665615e-12,0.32847040425255736,0.3227794754750367,120,Asset 3,HF FOF Div
-0.004904685494084389,2.8375316727567634,-0.8737981131884095,7.56446928115601,9.340035538745674e-12,0.3265654896398621,0.320858417518166,120,Asset 3,Relative Value HF
0.00010208688735076918,1.115861767696162,0.016542135361766568,4.80218827870184,4.650260767440896e-06,0.16348253776121624,0.15639340672529434,120,Asset 3,EM Bond
0.004765949587171995,0.5297733507415505,0.7237285056277288,1.70853806313995,0.09016569462180436,0.024140952565436358,0.015870960638024845,120,Asset 3,TIPs
-0.00045048944855986383,1.1658151632823968,-0.0768535741623957,6.081796288727314,1.5091530813342377e-08,0.23865194315632376,0.2321998409796825,120,Asset 3,High Yield
0.0012439241862545341,0.964730715725387,0.23897563073317132,8.589088761691276,4.203068247295152e-14,0.3846874115064154,0.3794728980446054,120,Asset 3,MSCI World
0.00012190327553633943,0.7721657606786038,0.02459166775531378,9.70850741472542,9.847857287810974e-17,0.44406522631612033,0.4393539146747315,120,Asset 3,MSCI Canada
0.0016061278681744299,0.8556641524699388,0.31009370453093493,8.677657502061322,2.6147045500410318e-14,0.38955541647455616,0.3843821572921372,120,Asset 3,MSCI EAFE
-0.00014218760496842713,0.6621248523137244,-0.027599510062880462,8.899093730889781,7.94821868459313e-15,0.4016041144683167,0.39653296289601425,120,Asset 3,MSCI EM Equity
