weights_tuple,weights_pretty
"(0.15, 0.3, 0.0, 0.3, 0.25)","(15%, 30%, 0%, 30%, 25%)"
"(0.15, 0.3, 0.05, 0.2, 0.3)","(15%, 30%, 5%, 20%, 30%)"
"(0.15, 0.3, 0.05, 0.25, 0.25)","(15%, 30%, 5%, 25%, 25%)"
"(0.15, 0.3, 0.05, 0.3, 0.2)","(15%, 30%, 5%, 30%, 20%)"
"(0.15, 0.3, 0.1, 0.15, 0.3)","(15%, 30%, 10%, 15%, 30%)"
"(0.15, 0.3, 0.1, 0.2, 0.25)","(15%, 30%, 10%, 20%, 25%)"
"(0.15, 0.3, 0.1, 0.25, 0.2)","(15%, 30%, 10%, 25%, 20%)"
"(0.15, 0.3, 0.1, 0.3, 0.15)","(15%, 30%, 10%, 30%, 15%)"
"(0.15, 0.3, 0.15, 0.1, 0.3)","(15%, 30%, 15%, 10%, 30%)"
"(0.15, 0.3, 0.15, 0.15, 0.25)","(15%, 30%, 15%, 15%, 25%)"
"(0.15, 0.3, 0.15, 0.2, 0.2)","(15%, 30%, 15%, 20%, 20%)"
"(0.15, 0.3, 0.15, 0.25, 0.15)","(15%, 30%, 15%, 25%, 15%)"
"(0.15, 0.3, 0.15, 0.3, 0.1)","(15%, 30%, 15%, 30%, 10%)"
"(0.15, 0.3, 0.2, 0.05, 0.3)","(15%, 30%, 20%, 5%, 30%)"
"(0.15, 0.3, 0.2, 0.1, 0.25)","(15%, 30%, 20%, 10%, 25%)"
"(0.15, 0.3, 0.2, 0.15, 0.2)","(15%, 30%, 20%, 15%, 20%)"
"(0.15, 0.3, 0.2, 0.2, 0.15)","(15%, 30%, 20%, 20%, 15%)"
"(0.15, 0.3, 0.2, 0.25, 0.1)","(15%, 30%, 20%, 25%, 10%)"
"(0.15, 0.3, 0.2, 0.3, 0.05)","(15%, 30%, 20%, 30%, 5%)"
"(0.15, 0.3, 0.25, 0.0, 0.3)","(15%, 30%, 25%, 0%, 30%)"
"(0.15, 0.3, 0.25, 0.05, 0.25)","(15%, 30%, 25%, 5%, 25%)"
"(0.15, 0.3, 0.25, 0.1, 0.2)","(15%, 30%, 25%, 10%, 20%)"
"(0.15, 0.3, 0.25, 0.15, 0.15)","(15%, 30%, 25%, 15%, 15%)"
"(0.15, 0.3, 0.25, 0.2, 0.1)","(15%, 30%, 25%, 20%, 10%)"
