,US Muni,US Tbill 1-3yr,US AGG,Global AGG,US Dollar,Commodities,Long Short HF,Event Driven HF,HF FOF Div,Relative Value HF,EM Bond,TIPs,High Yield,MSCI World,MSCI Canada,MSCI EAFE,MSCI EM Equity,MSCI Europe,MSCI Japan,MSCI Asia ex-J,US Growth,US Value,US Small Cap,US Mid Cap,Gold,S&P500,Cash
Date,LM17TR,LT01TRUU,LBUSTRUU,LEGATRUU,USTW$,BCOMTR,HFRIEHI,HFRIEDI,HFRIFOFD,HFRIRVA,JPEIGLBL,SPBDU1ST,H0A0,NDDUWI,NDDUCA,NDDUEAFE,NDUEEGF,NDDUE15,NDDUJN,NDUECAXJ,RU10GRTR,RU10VATR,RU20INTR,RUMCINTR,GOLDS,SPTR,LD12TRUU
17-Nov,-0.81%,-0.21%,-0.13%,1.11%,0.53%,-0.46%,0.97%,0.14%,-0.07%,0.07%,-0.27%,0.04%,-0.27%,2.17%,0.62%,1.05%,0.20%,0.22%,2.99%,0.63%,3.04%,3.06%,2.88%,3.36%,0.28%,3.07%,0.08%
17-Dec,0.83%,0.01%,0.46%,0.35%,-0.46%,2.99%,1.30%,1.34%,0.88%,0.82%,0.63%,1.07%,0.29%,1.35%,3.85%,1.61%,3.59%,1.51%,0.70%,2.70%,0.78%,1.46%,-0.40%,0.93%,2.18%,1.11%,0.09%
18-Jan,-0.87%,-0.31%,-1.15%,1.19%,-2.73%,1.99%,2.84%,1.28%,2.39%,1.15%,-0.20%,-1.24%,0.64%,5.28%,0.92%,5.02%,8.33%,5.40%,4.58%,7.56%,7.08%,3.87%,2.61%,3.76%,3.25%,5.73%,0.11%
18-Feb,-0.26%,-0.04%,-0.95%,-0.89%,-0.71%,-1.73%,-1.84%,-0.65%,-1.78%,-0.55%,-1.96%,-1.34%,-0.93%,-4.14%,-7.33%,-4.51%,-4.61%,-5.88%,-1.51%,-4.98%,-2.62%,-4.78%,-3.87%,-4.13%,-1.99%,-3.69%,0.09%
18-Mar,0.22%,0.20%,0.64%,1.06%,0.61%,-0.62%,-0.63%,-0.50%,-0.49%,-0.19%,0.38%,1.05%,-0.62%,-2.18%,-0.93%,-1.80%,-1.86%,-1.20%,-2.11%,-1.51%,-2.74%,-1.76%,1.29%,0.06%,0.54%,-2.54%,0.13%
18-Apr,-0.27%,-0.18%,-0.74%,-1.60%,0.14%,2.58%,0.33%,0.30%,0.23%,0.68%,-1.46%,-0.19%,0.67%,1.15%,2.44%,2.28%,-0.44%,2.77%,0.67%,0.71%,0.35%,0.33%,0.86%,-0.15%,-0.76%,0.38%,0.14%
18-May,0.94%,0.37%,0.71%,-0.76%,2.71%,1.42%,1.34%,1.04%,0.70%,0.62%,-1.08%,0.34%,-0.02%,0.63%,1.97%,-2.25%,-3.54%,-3.28%,-0.99%,-1.32%,4.38%,0.59%,6.07%,2.27%,-1.28%,2.41%,0.14%
18-Jun,0.18%,0.01%,-0.12%,-0.44%,1.18%,-3.50%,-0.81%,0.53%,-0.23%,-0.05%,-1.00%,0.79%,0.35%,-0.05%,0.21%,-1.22%,-4.15%,-0.67%,-2.52%,-4.79%,0.96%,0.25%,0.72%,0.69%,-3.54%,0.62%,0.16%
18-Jul,0.32%,-0.02%,0.02%,-0.17%,0.34%,-2.13%,0.51%,0.41%,0.22%,0.90%,2.06%,-0.78%,1.12%,3.12%,2.41%,2.46%,2.20%,3.33%,0.40%,0.84%,2.94%,3.96%,1.74%,2.49%,-2.27%,3.72%,0.16%
18-Aug,0.18%,0.33%,0.64%,0.10%,0.43%,-1.77%,0.42%,0.00%,0.36%,0.19%,-1.92%,0.80%,0.72%,1.24%,-1.48%,-1.93%,-2.70%,-2.79%,0.22%,-1.02%,5.47%,1.48%,4.31%,3.11%,-1.88%,3.26%,0.16%
18-Sep,-0.56%,-0.12%,-0.64%,-0.86%,-0.49%,1.92%,-0.61%,0.39%,0.01%,0.30%,1.77%,-1.16%,0.58%,0.56%,-0.10%,0.87%,-0.53%,0.36%,3.04%,-1.38%,0.56%,0.20%,-2.41%,-0.64%,-0.86%,0.57%,0.16%
18-Oct,-0.41%,0.14%,-0.79%,-1.12%,0.86%,-2.16%,-4.67%,-1.87%,-2.59%,-1.26%,-2.23%,-1.51%,-1.64%,-7.34%,-7.81%,-7.96%,-8.71%,-7.63%,-8.46%,-10.85%,-8.94%,-5.18%,-10.86%,-8.31%,2.01%,-6.84%,0.18%
18-Nov,1.02%,0.36%,0.60%,0.31%,1.00%,-0.56%,-0.19%,-0.70%,-0.55%,-0.48%,-0.39%,0.68%,-0.91%,1.14%,0.28%,-0.13%,4.12%,-0.93%,0.40%,5.31%,1.06%,2.99%,1.59%,2.46%,0.47%,2.04%,0.18%
18-Dec,1.11%,0.81%,1.84%,2.02%,0.40%,-6.89%,-3.83%,-2.32%,-1.52%,-1.71%,1.46%,0.80%,-2.19%,-7.60%,-8.37%,-4.85%,-2.65%,-4.62%,-6.68%,-2.71%,-8.60%,-9.60%,-11.88%,-9.92%,5.08%,-9.03%,0.19%
